Formulario,Campo,Tabla BD,Columna BD,Valor esperado,Validado
Registrar usuario (crear-usuario),Tipo de documento,usuarios,tipo_documento,cc,sí
Registrar usuario (crear-usuario),Nombre completo,usuarios,nombre,Mateo Ramírez,sí
Registrar usuario (crear-usuario),Número de documento,usuarios,numero_documento,1000000001,sí
Registrar usuario (crear-usuario),Número de Teléfono,usuarios,telefono,3111111111,sí
Registrar usuario (crear-usuario),Correo electrónico,usuarios,correo,mateo.ramirez@example.com,sí
Registrar usuario (crear-usuario),Confirmar correo,,,(igual al correo),sí
Registrar usuario (crear-usuario),Contraseña,usuarios,password,Abcdef12,sí
Registrar usuario (crear-usuario),Rol,usuarios,rol,Administrador,sí
Registrar usuario (crear-usuario),Estado,usuarios,estado,habilitado,sí

Actualizar usuario (actualizar-usuario),Tipo de documento,usuarios,tipo_documento,cc,sí
Actualizar usuario (actualizar-usuario),Nombre completo,usuarios,nombre,Mateo Ramírez,sí
Actualizar usuario (actualizar-usuario),Número de documento,usuarios,numero_documento,1000000001,sí
Actualizar usuario (actualizar-usuario),Número de Teléfono,usuarios,telefono,3111111111,sí
Actualizar usuario (actualizar-usuario),Correo electrónico,usuarios,correo,mateo.ramirez@example.com,sí
Actualizar usuario (actualizar-usuario),Confirmar correo,,,(igual al correo),sí
Actualizar usuario (actualizar-usuario),Contraseña (opcional),usuarios,password,Abcdef12,sí
Actualizar usuario (actualizar-usuario),Rol,usuarios,rol,Administrador,sí
Actualizar usuario (actualizar-usuario),Estado,usuarios,estado,habilitado/suspendido,sí

Olvidé mi contraseña,Correo electrónico,,,mateo.ramirez@example.com,sí
Recuperar código,Código (6 dígitos),,,123456,sí
Actualización de contraseña,Nueva contraseña,usuarios,password,Abcdef12,sí
Actualización de contraseña,Confirmar contraseña,,,(igual a la nueva),sí

Crear cultivo,Nombre,cultivos,nombre,Tomate,sí
Crear cultivo,Tipo de cultivo,cultivos,tipo,Verdura,sí
Crear cultivo,Imagen,cultivos,imagen,cultivo.jpg,sí
Crear cultivo,Ubicación,cultivos,ubicacion,Invernadero 1,sí
Crear cultivo,Tamaño (m2),cultivos,tamano,100,sí
Crear cultivo,Descripción,cultivos,descripcion,Cultivo de tomates,sí
Crear cultivo,Estado,cultivos,estado,habilitado,sí

Actualizar cultivo,Nombre,cultivos,nombre,Tomate,sí
Actualizar cultivo,Tipo de cultivo,cultivos,tipo,Verdura,sí
Actualizar cultivo,Imagen (opcional),cultivos,imagen,cultivo.jpg,sí
Actualizar cultivo,Ubicación,cultivos,ubicacion,Invernadero 1,sí
Actualizar cultivo,Tamaño (m2),cultivos,tamano,100,sí
Actualizar cultivo,Descripción,cultivos,descripcion,Cultivo de tomates,sí
Actualizar cultivo,Estado,cultivos,estado,habilitado/suspendido,sí

Crear ciclo de cultivo,Nombre,ciclo_cultivo,nombre,Ciclo Primavera,sí
Crear ciclo de cultivo,Descripción,ciclo_cultivo,descripcion,Ciclo de cultivo para primavera,sí
Crear ciclo de cultivo,Periodo - Inicio,ciclo_cultivo,periodo_inicio,2025-03-01,sí
Crear ciclo de cultivo,Periodo - Final,ciclo_cultivo,periodo_final,2025-06-30,sí
Crear ciclo de cultivo,Novedades,ciclo_cultivo,novedades,Ninguna,sí
Crear ciclo de cultivo,Estado,ciclo_cultivo,estado,habilitado,sí

Actualizar ciclo de cultivo,Nombre,ciclo_cultivo,nombre,Ciclo Primavera,sí
Actualizar ciclo de cultivo,Descripción,ciclo_cultivo,descripcion,Ciclo de cultivo para primavera,sí
Actualizar ciclo de cultivo,Periodo - Inicio,ciclo_cultivo,periodo_inicio,2025-03-01,sí
Actualizar ciclo de cultivo,Periodo - Final,ciclo_cultivo,periodo_final,2025-06-30,sí
Actualizar ciclo de cultivo,Novedades,ciclo_cultivo,novedades,Ninguna,sí
Actualizar ciclo de cultivo,Estado,ciclo_cultivo,estado,habilitado/suspendido,sí

Crear sensor,Tipo de sensor,sensores,tipo_sensor,Sensor de contacto,sí
Crear sensor,Nombre del sensor,sensores,nombre_sensor,Sensor Temperatura Ambiente,sí
Crear sensor,Unidad de medida,sensores,unidad_medida,Temperatura,sí
Crear sensor,Imagen,sensores,imagen,sensor.jpg,sí
Crear sensor,Descripción,sensores,descripcion,Sensor para medir temperatura,sí
Crear sensor,Tiempo de Escaneo/Muestreo,sensores,tiempo_escaneo,Sensores lentos,sí
Crear sensor,Estado,sensores,estado,habilitado,sí

